2023-10-23 17:48:24,661 INFO    MainThread:2311121 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-10-23 17:48:24,662 INFO    MainThread:2311121 [wandb_setup.py:_flush():76] Configure stats pid to 2311121
2023-10-23 17:48:24,662 INFO    MainThread:2311121 [wandb_setup.py:_flush():76] Loading settings from /nfs/home/students/t.reim/.config/wandb/settings
2023-10-23 17:48:24,662 INFO    MainThread:2311121 [wandb_setup.py:_flush():76] Loading settings from /nfs/home/students/t.reim/bachelor/pytorchtest/wandb/settings
2023-10-23 17:48:24,662 INFO    MainThread:2311121 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-10-23 17:48:24,662 INFO    MainThread:2311121 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-23 17:48:24,662 INFO    MainThread:2311121 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/nfs/home/students/t.reim/bachelor/pytorchtest/main.py', 'program': '/nfs/home/students/t.reim/bachelor/pytorchtest/main.py'}
2023-10-23 17:48:24,662 INFO    MainThread:2311121 [wandb_init.py:_log_setup():528] Logging user logs to /nfs/home/students/t.reim/bachelor/pytorchtest/wandb/run-20231023_174824-hsh5bh8g/logs/debug.log
2023-10-23 17:48:24,663 INFO    MainThread:2311121 [wandb_init.py:_log_setup():529] Logging internal logs to /nfs/home/students/t.reim/bachelor/pytorchtest/wandb/run-20231023_174824-hsh5bh8g/logs/debug-internal.log
2023-10-23 17:48:24,663 INFO    MainThread:2311121 [wandb_init.py:init():568] calling init triggers
2023-10-23 17:48:24,663 INFO    MainThread:2311121 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.01, 'epochs': 100, 'batchsize': 16, 'dataset': 'Huang'}
2023-10-23 17:48:24,663 INFO    MainThread:2311121 [wandb_init.py:init():618] starting backend
2023-10-23 17:48:24,663 INFO    MainThread:2311121 [wandb_init.py:init():622] setting up manager
2023-10-23 17:48:24,666 INFO    MainThread:2311121 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-10-23 17:48:24,670 INFO    MainThread:2311121 [wandb_init.py:init():628] backend started and connected
2023-10-23 17:48:24,676 INFO    MainThread:2311121 [wandb_init.py:init():720] updated telemetry
2023-10-23 17:48:24,677 INFO    MainThread:2311121 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-23 17:48:25,120 INFO    MainThread:2311121 [wandb_run.py:_on_init():2220] communicating current version
2023-10-23 17:48:25,243 INFO    MainThread:2311121 [wandb_run.py:_on_init():2229] got version response 
2023-10-23 17:48:25,243 INFO    MainThread:2311121 [wandb_init.py:init():804] starting run threads in backend
2023-10-23 17:48:55,275 INFO    MainThread:2311121 [wandb_run.py:_console_start():2199] atexit reg
2023-10-23 17:48:55,275 INFO    MainThread:2311121 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-23 17:48:55,276 INFO    MainThread:2311121 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-23 17:48:55,276 INFO    MainThread:2311121 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-23 17:48:55,277 INFO    MainThread:2311121 [wandb_init.py:init():845] run started, returning control to user process
2023-10-23 17:49:13,319 WARNING MsgRouterThr:2311121 [router.py:message_loop():77] message_loop has been closed
